x, y, etat final, etat initial
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.002000, 0.000000, 0.000000
0.000000, 0.004000, 0.000000, 0.000000
0.000000, 0.006000, 0.000000, 0.000000
0.000000, 0.008000, 0.000000, 0.000000
0.000000, 0.010000, 0.000000, 0.000000
0.000000, 0.012000, 0.000000, 0.000000
0.000000, 0.014000, 0.000000, 0.000000
0.000000, 0.016000, 0.000000, 0.000000
0.000000, 0.018000, 0.000000, 0.000000
0.000000, 0.020000, 0.000000, 0.000000
0.000000, 0.022000, 0.000000, 0.000000
0.000000, 0.024000, 0.000000, 0.000000
0.000000, 0.026000, 0.000000, 0.000000
0.000000, 0.028000, 0.000000, 0.000000
0.000000, 0.030000, 0.000000, 0.000000
0.000000, 0.032000, 0.000000, 0.000000
0.000000, 0.034000, 0.000000, 0.000000
0.000000, 0.036000, 0.000000, 0.000000
0.000000, 0.038000, 0.000000, 0.000000
0.000000, 0.040000, 0.000000, 0.000000
0.000000, 0.042000, 0.000000, 0.000000
0.000000, 0.044000, 0.000000, 0.000000
0.000000, 0.046000, 0.000000, 0.000000
0.000000, 0.048000, 0.000000, 0.000000
0.000000, 0.050000, 0.000000, 0.000000
0.000000, 0.052000, 0.000000, 0.000000
0.000000, 0.054000, 0.000000, 0.000000
0.000000, 0.056000, 0.000000, 0.000000
0.000000, 0.058000, 0.000000, 0.000000
0.000000, 0.060000, 0.000000, 0.000000
0.000000, 0.062000, 0.000000, 0.000000
0.000000, 0.064000, 0.000000, 0.000000
0.000000, 0.066000, 0.000000, 0.000000
0.000000, 0.068000, 0.000000, 0.000000
0.000000, 0.070000, 0.000000, 0.000000
0.000000, 0.072000, 0.000000, 0.000000
0.000000, 0.074000, 0.000000, 0.000000
0.000000, 0.076000, 0.000000, 0.000000
0.000000, 0.078000, 0.000000, 0.000000
0.000000, 0.080000, 0.000000, 0.000000
0.000000, 0.082000, 0.000000, 0.000000
0.000000, 0.084000, 0.000000, 0.000000
0.000000, 0.086000, 0.000000, 0.000000
0.000000, 0.088000, 0.000000, 0.000000
0.000000, 0.090000, 0.000000, 0.000000
0.000000, 0.092000, 0.000000, 0.000000
0.000000, 0.094000, 0.000000, 0.000000
0.000000, 0.096000, 0.000000, 0.000000
0.000000, 0.098000, 0.000000, 0.000000
0.000000, 0.100000, 0.000000, 0.000000
0.000000, 0.102000, 0.000000, 0.000000
0.000000, 0.104000, 0.000000, 0.000000
0.000000, 0.106000, 0.000000, 0.000000
0.000000, 0.108000, 0.000000, 0.000000
0.000000, 0.110000, 0.000000, 0.000000
0.000000, 0.112000, 0.000000, 0.000000
0.000000, 0.114000, 0.000000, 0.000000
0.000000, 0.116000, 0.000000, 0.000000
0.000000, 0.118000, 0.000000, 0.000000
0.000000, 0.120000, 0.000000, 0.000000
0.000000, 0.122000, 0.000000, 0.000000
0.000000, 0.124000, 0.000000, 0.000000
0.000000, 0.126000, 0.000000, 0.000000
0.000000, 0.128000, 0.000000, 0.000000
0.000000, 0.130000, 0.000000, 0.000000
0.000000, 0.132000, 0.000000, 0.000000
0.000000, 0.134000, 0.000000, 0.000000
0.000000, 0.136000, 0.000000, 0.000000
0.000000, 0.138000, 0.000000, 0.000000
0.000000, 0.140000, 0.000000, 0.000000
0.000000, 0.142000, 0.000000, 0.000000
0.000000, 0.144000, 0.000000, 0.000000
0.000000, 0.146000, 0.000000, 0.000000
0.000000, 0.148000, 0.000000, 0.000000
0.000000, 0.150000, 0.000000, 0.000000
0.000000, 0.152000, 0.000000, 0.000000
0.000000, 0.154000, 0.000000, 0.000000
0.000000, 0.156000, 0.000000, 0.000000
0.000000, 0.158000, 0.000000, 0.000000
0.000000, 0.160000, 0.000000, 0.000000
0.000000, 0.162000, 0.000000, 0.000000
0.000000, 0.164000, 0.000000, 0.000000
0.000000, 0.166000, 0.000000, 0.000000
0.000000, 0.168000, 0.000000, 0.000000
0.000000, 0.170000, 0.000000, 0.000000
0.000000, 0.172000, 0.000000, 0.000000
0.000000, 0.174000, 0.000000, 0.000000
0.000000, 0.176000, 0.000000, 0.000000
0.000000, 0.178000, 0.000000, 0.000000
0.000000, 0.180000, 0.000000, 0.000000
0.000000, 0.182000, 0.000000, 0.000000
0.000000, 0.184000, 0.000000, 0.000000
0.000000, 0.186000, 0.000000, 0.000000
0.000000, 0.188000, 0.000000, 0.000000
0.000000, 0.190000, 0.000000, 0.000000
0.000000, 0.192000, 0.000000, 0.000000
0.000000, 0.194000, 0.000000, 0.000000
0.000000, 0.196000, 0.000000, 0.000000
0.000000, 0.198000, 0.000000, 0.000000
0.000000, 0.200000, 0.000000, 0.000000

0.002000, 0.000000, 0.000000, 0.000000
0.002000, 0.002000, 0.000114, 0.000000
0.002000, 0.004000, 0.000208, 0.000000
0.002000, 0.006000, 0.000291, 0.000000
0.002000, 0.008000, 0.000364, 0.000000
0.002000, 0.010000, 0.000432, 0.000000
0.002000, 0.012000, 0.000494, 0.000000
0.002000, 0.014000, 0.000552, 0.000000
0.002000, 0.016000, 0.000606, 0.000000
0.002000, 0.018000, 0.000657, 0.000000
0.002000, 0.020000, 0.000706, 0.000000
0.002000, 0.022000, 0.000751, 0.000000
0.002000, 0.024000, 0.000794, 0.000000
0.002000, 0.026000, 0.000836, 0.000000
0.002000, 0.028000, 0.000875, 0.000000
0.002000, 0.030000, 0.000912, 0.000000
0.002000, 0.032000, 0.000947, 0.000000
0.002000, 0.034000, 0.000981, 0.000000
0.002000, 0.036000, 0.001013, 0.000000
